Temperatur in °C,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9
590,"310,49","310,81","311,13","311,45","311,78","312,1","312,42","312,74","313,06","313,39"
600,"313,71","314,03","314,35","314,67","314,99","315,31","315,64","315,96","316,28","316,6"
610,"316,92","317,24","317,56","317,88","318,2","318,52","318,84","319,16","319,48","319,8"
620,"320,12","320,43","320,75","321,07","321,39","321,71","322,03","322,35","322,67","322,98"
630,"323,3","323,62","323,94","324,26","324,57","324,89","325,21","325,53","325,84","326,16"
640,"326,48","326,79","327,11","327,43","327,74","328,06","328,38","328,69","329,01","329,32"
650,"329,64","329,96","330,27","330,59","330,9","331,22","331,53","331,85","332,16","332,48"
660,"332,79","333,11","333,42","333,74","334,05","334,36","334,68","334,99","335,31","335,62"
670,"335,93","336,25","336,56","336,87","337,18","337,5","337,81","338,12","338,44","338,75"
680,"339,06","339,37","339,69",340,"340,31","340,62","340,93","341,24","341,56","341,87"
690,"342,18","342,49","342,8","343,11","343,42","343,73","344,04","344,35","344,66","344,97"
700,"345,28","345,59","345,9","346,21","346,52","346,83","347,14","347,45","347,76","348,07"
710,"348,38","348,69","348,99","349,3","349,61","349,92","350,23","350,54","350,84","351,15"
720,"351,46","351,77","352,08","352,38","352,69",353,"353,3","353,61","353,92","354,22"
730,"354,53","354,84","355,14","355,45","355,76","356,06","356,37","356,67","356,98","357,28"
740,"357,59","357,9","358,2","358,51","358,81","359,12","359,42","359,72","360,03","360,33"
750,"360,64","360,94","361,25","361,55","361,85","362,16","362,46","362,76","363,07","363,37"
760,"363,67","363,98","364,28","364,58","364,89","365,19","365,49","365,79","366,1","366,4"
770,"366,7",367,"367,3","367,6","367,91","368,21","368,51","368,81","369,11","369,41"
780,"369,71","370,01","370,31","370,61","370,91","371,21","371,51","371,81","372,11","372,41"
790,"372,71","373,01","373,31","373,61","373,91","374,21","374,51","374,81","375,11","375,41"
800,"375,7",376,"376,3","376,6","376,9","377,19","377,49","377,79","378,09","378,39"
810,"378,68","378,98","379,28","379,57","379,87","380,17","380,46","380,76","381,06","381,35"
820,"381,65","381,95","382,24","382,54","382,83","383,13","383,42","383,72","384,01","384,31"
830,"384,6","384,9","385,19","385,49","385,78","386,08","386,37","386,67","386,96","387,25"
840,"387,55","387,84","388,14","388,43","388,72","389,02","389,31","389,6","389,9","390,19"
850,"390,48",,,,,,,,,
